,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,GAME_DATE,SALARY
201959,Taj Gibson,Knicks,Forward,6-9,232,USA,1985-06-24T00:00:00,12,26,896,24.5,9.0,6.1,1.0,0.6,1.0,APR 17 2022,4910000
1630581,Josh Giddey,Thunder,Guard,6-8,205,Australia,2002-10-10T00:00:00,0,6,54,31.5,12.5,7.8,6.4,0.9,0.4,APR 16 2022,5988000
1628983,Shai Gilgeous-Alexander,Thunder,Guard,6-6,180,Canada,1998-07-12T00:00:00,3,11,243,31.8,18.2,4.5,4.3,1.1,0.7,APR 16 2022,5495532
1630264,Anthony Gill,Wizards,Forward,6-7,230,USA,1992-10-17T00:00:00,1,Undrafted,70,9.7,3.7,1.9,0.5,0.2,0.2,APR 17 2022,1517981
203497,Rudy Gobert,Jazz,Center,7-1,258,France,1992-06-26T00:00:00,8,27,611,30.0,12.4,11.7,1.3,0.7,2.2,APR 16 2022,35344828
203932,Aaron Gordon,Nuggets,Forward,6-8,235,USA,1995-09-16T00:00:00,7,4,528,28.9,13.0,6.3,2.5,0.7,0.6,APR 16 2022,16409091
201569,Eric Gordon,Rockets,Guard,6-3,215,USA,1988-12-25T00:00:00,13,7,749,32.4,16.4,2.4,2.8,0.9,0.3,APR 16 2022,18218818
1628984,Devonte' Graham,Pelicans,Guard,6-1,195,USA,1995-02-22T00:00:00,3,34,240,27.9,12.8,2.5,5.0,0.9,0.1,APR 17 2022,11000000
203924,Jerami Grant,Pistons,Forward,6-8,210,USA,1994-03-12T00:00:00,7,39,555,26.0,11.4,3.9,1.3,0.6,1.1,APR 16 2022,20000000
201980,Danny Green,76ers,Guard,6-6,215,USA,1987-06-22T00:00:00,12,46,819,25.3,8.7,3.4,1.6,1.0,0.8,APR 16 2022,10000000
203110,Draymond Green,Warriors,Forward,6-6,230,USA,1990-03-04T00:00:00,9,35,685,28.5,8.7,6.9,5.4,1.4,1.0,APR 17 2022,24026712
203210,Jamychal Green,Nuggets,Forward-Center,6-8,227,USA,1990-06-21T00:00:00,7,Undrafted,487,20.8,7.9,5.7,0.9,0.6,0.4,APR 17 2022,8292683
1629750,Javonte Green,Bulls,Guard-Forward,6-5,205,USA,1993-07-23T00:00:00,2,Undrafted,154,16.0,5.0,2.9,0.7,0.8,0.3,APR 16 2022,8992200
201145,Jeff Green,Nuggets,Forward,6-8,235,USA,1986-08-28T00:00:00,13,5,1051,29.0,12.6,4.3,1.5,0.7,0.5,APR 16 2022,4500000
1630182,Josh Green,Mavericks,Guard,6-5,200,Australia,2000-11-16T00:00:00,1,18,106,14.0,4.0,2.3,1.0,0.6,0.2,APR 16 2022,2957520
201933,Blake Griffin,Nets,Forward,6-9,250,USA,1989-03-16T00:00:00,11,1,724,32.9,19.8,8.2,4.1,0.8,0.5,APR 16 2022,32405817
1629656,Quentin Grimes,Knicks,Guard,6-4,210,USA,2000-05-08T00:00:00,0,25,46,17.1,6.0,2.0,1.0,0.7,0.2,APR 16 2022,2168760
1629060,Rui Hachimura,Wizards,Forward,6-8,230,Japan,1998-02-08T00:00:00,2,9,147,28.5,13.0,5.2,1.5,0.7,0.2,APR 16 2022,4916160
1630169,Tyrese Haliburton,Pacers,Guard,6-5,185,USA,2000-02-29T00:00:00,1,12,135,32.9,14.3,3.6,6.9,1.6,0.6,APR 17 2022,4023600
1630181,R.J. Hampton,Magic,Guard,6-4,175,USA,2001-02-07T00:00:00,1,24,115,19.9,7.3,3.2,2.1,0.5,0.2,APR 16 2022,2303040
203501,Tim Hardaway Jr.,Mavericks,Guard-Forward,6-5,205,USA,1992-03-16T00:00:00,8,24,586,27.0,13.9,2.8,1.9,0.6,0.1,APR 16 2022,21306816
201935,James Harden,76ers,Guard,6-5,220,USA,1989-08-26T00:00:00,12,3,942,34.6,24.9,5.6,6.8,1.5,0.5,APR 16 2022,43848000
203090,Maurice Harkless,Kings,Forward-Guard,6-7,220,USA,1993-05-11T00:00:00,9,15,621,22.6,6.9,3.5,0.9,0.9,0.6,APR 17 2022,4347600
1626149,Montrezl Harrell,Hornets,Forward-Center,6-7,240,USA,1994-01-26T00:00:00,6,32,458,21.5,12.9,5.3,1.4,0.6,0.8,APR 16 2022,9720900
203914,Gary Harris,Magic,Guard,6-4,210,USA,1994-09-14T00:00:00,7,19,468,28.8,11.8,2.5,2.1,1.2,0.2,APR 16 2022,20482143
203925,Joe Harris,Nets,Guard-Forward,6-6,220,USA,1991-09-06T00:00:00,7,33,414,25.6,11.1,3.2,1.6,0.5,0.2,APR 16 2022,17357143
202699,Tobias Harris,76ers,Forward,6-7,226,USA,1992-07-15T00:00:00,10,19,753,31.4,16.4,6.2,2.3,0.7,0.5,APR 17 2022,36000000
1628404,Josh Hart,Trail Blazers,Guard,6-5,215,USA,1995-03-06T00:00:00,4,30,296,27.3,9.9,5.7,2.1,0.9,0.4,APR 16 2022,12000000
1628392,Isaiah Hartenstein,Clippers,Center-Forward,7-0,250,Germany,1998-05-05T00:00:00,3,43,165,13.7,5.8,3.9,1.5,0.5,0.8,APR 17 2022,3430810
2617,Udonis Haslem,Heat,Forward,6-8,235,USA,1980-06-09T00:00:00,18,Undrafted,872,24.8,7.5,6.6,0.8,0.5,0.3,APR 17 2022,2641691
1630573,Sam Hauser,Celtics,Forward,6-7,217,USA,1997-12-08T00:00:00,0,Undrafted,26,6.1,2.5,1.1,0.4,0.0,0.1,APR 16 2022,313737
1629637,Jaxson Hayes,Pelicans,Center-Forward,6-11,220,USA,2000-05-23T00:00:00,2,8,194,17.7,8.1,4.3,0.7,0.4,0.8,APR 17 2022,5348280
1630165,Killian Hayes,Pistons,Guard,6-5,195,France,2001-07-27T00:00:00,1,7,92,25.2,6.8,3.0,4.5,1.1,0.5,APR 17 2022,5572680
202330,Gordon Hayward,Hornets,Forward,6-7,225,USA,1990-03-23T00:00:00,11,9,734,31.1,15.6,4.5,3.5,1.0,0.4,APR 17 2022,29900000
1627823,Juancho Hernangomez,Jazz,Forward,6-9,214,Spain,1995-09-28T00:00:00,5,15,297,15.7,5.4,3.4,0.6,0.4,0.2,APR 17 2022,6175440
1626195,Willy Hernangomez,Pelicans,Center-Forward,6-11,250,Spain,1994-05-27T00:00:00,5,35,306,15.3,7.4,5.9,1.1,0.4,0.4,APR 16 2022,2327220
1629639,Tyler Herro,Heat,Guard,6-5,195,USA,2000-01-20T00:00:00,2,13,175,30.3,16.7,4.7,3.2,0.6,0.2,APR 16 2022,4004280
1627741,Buddy Hield,Pacers,Guard,6-4,220,Bahamas,1992-12-17T00:00:00,5,6,468,29.2,15.9,4.3,2.5,0.8,0.3,APR 17 2022,22477273
1629312,Haywood Highsmith,Heat,Forward,6-4,220,USA,1996-12-09T00:00:00,1,,24,8.5,2.2,1.3,0.3,0.1,0.1,APR 17 2022,290967
201588,George Hill,Bucks,Guard,6-4,188,USA,1986-05-04T00:00:00,13,26,869,27.2,10.7,3.0,3.1,0.9,0.3,APR 17 2022,4000000
1628988,Aaron Holiday,Suns,Guard,6-0,185,USA,1996-09-30T00:00:00,3,23,245,18.2,7.3,1.8,2.4,0.7,0.2,APR 17 2022,3980551
201950,Jrue Holiday,Bucks,Guard,6-3,205,USA,1990-06-12T00:00:00,12,17,839,33.2,16.2,4.0,6.4,1.5,0.5,APR 17 2022,30133333
203200,Justin Holiday,Kings,Forward-Guard,6-6,180,USA,1989-04-05T00:00:00,8,Undrafted,576,24.6,8.7,3.0,1.5,1.0,0.4,APR 17 2022,6006420
1626158,Richaun Holmes,Kings,Forward,6-10,235,USA,1993-10-15T00:00:00,6,37,376,21.1,9.6,5.8,1.1,0.6,1.1,APR 16 2022,10384500
203918,Rodney Hood,Clippers,Guard-Forward,6-8,208,USA,1992-10-20T00:00:00,7,23,448,24.5,10.4,2.6,1.6,0.7,0.2,APR 17 2022,2239544
201143,Al Horford,Celtics,Center-Forward,6-9,240,Dominican Republic,1986-06-03T00:00:00,14,3,950,32.2,13.7,8.2,3.3,0.8,1.2,APR 16 2022,27000000
1629659,Talen Horton-Tucker,Lakers,Guard,6-4,234,USA,2000-11-25T00:00:00,2,46,131,22.1,9.3,2.8,2.6,1.0,0.4,APR 16 2022,9500000
1627863,Danuel House Jr.,Jazz,Forward-Guard,6-6,220,USA,1993-06-07T00:00:00,5,Undrafted,204,24.4,8.5,3.6,1.3,0.7,0.4,APR 16 2022,2045094
2730,Dwight Howard,Lakers,Center-Forward,6-10,265,USA,1985-12-08T00:00:00,17,1,1242,31.8,15.7,11.8,1.3,0.9,1.8,APR 16 2022,2641691
1630190,Elijah Hughes,Trail Blazers,Guard,6-5,215,USA,1998-03-10T00:00:00,1,39,54,9.2,2.9,1.2,0.5,0.3,0.2,APR 17 2022,1517981
1629631,De'Andre Hunter,Hawks,Forward-Guard,6-8,221,USA,1997-12-02T00:00:00,2,4,139,30.7,13.2,4.1,1.6,0.7,0.4,APR 16 2022,7775400
1630538,Bones Hyland,Nuggets,Guard,6-2,169,USA,2000-09-14T00:00:00,0,26,69,19.0,10.1,2.7,2.8,0.6,0.3,APR 16 2022,2096880
201586,Serge Ibaka,Bucks,Forward,6-10,235,Republic of the Congo,1989-09-18T00:00:00,12,24,903,27.6,12.1,7.2,0.8,0.4,1.9,APR 17 2022,9742000
2738,Andre Iguodala,Warriors,Guard-Forward,6-6,215,USA,1984-01-28T00:00:00,17,9,1223,32.2,11.4,4.9,4.2,1.4,0.5,APR 17 2022,2641691
204060,Joe Ingles,Trail Blazers,Forward-Guard,6-8,220,Australia,1987-10-02T00:00:00,7,Undrafted,590,25.7,8.6,3.2,3.8,0.9,0.2,APR 16 2022,14000000
1627742,Brandon Ingram,Pelicans,Forward,6-8,190,USA,1997-09-02T00:00:00,5,2,368,32.8,18.5,5.2,3.8,0.7,0.6,APR 16 2022,29467800
202681,Kyrie Irving,Nets,Guard,6-2,195,Australia,1992-03-23T00:00:00,10,1,611,34.0,23.1,3.8,5.7,1.3,0.4,APR 17 2022,34916200
1628371,Jonathan Isaac,Magic,Forward,6-10,230,USA,1997-10-03T00:00:00,3,6,136,25.8,9.3,5.4,1.1,1.1,1.5,APR 17 2022,17400000
1628402,Frank Jackson,Pistons,Guard,6-3,205,USA,1998-05-04T00:00:00,3,31,213,18.2,8.5,1.8,1.0,0.4,0.1,APR 16 2022,3000000
1630543,Isaiah Jackson,Pacers,Forward,6-10,205,USA,2002-01-10T00:00:00,0,22,36,15.0,8.3,4.1,0.3,0.7,1.4,APR 16 2022,2451120
1628367,Josh Jackson,Kings,Guard-Forward,6-8,207,USA,1997-02-10T00:00:00,4,4,291,23.1,11.3,4.0,1.8,0.9,0.6,APR 17 2022,5005350
202704,Reggie Jackson,Clippers,Guard,6-2,208,USA,1990-04-16T00:00:00,10,24,703,25.6,13.1,3.0,4.3,0.7,0.1,APR 17 2022,10384500
1628991,Jaren Jackson Jr.,Grizzlies,Forward-Center,6-11,242,USA,1999-09-15T00:00:00,3,4,204,27.1,15.8,5.1,1.2,0.9,1.8,APR 17 2022,9180560
2544,Lebron James,Lakers,Forward,6-9,250,USA,1984-12-30T00:00:00,18,1,1366,38.2,27.1,7.5,7.4,1.6,0.8,APR 17 2022,41180544
1629660,Ty Jerome,Thunder,Guard-Forward,6-5,195,USA,1997-07-08T00:00:00,2,24,112,17.1,7.1,1.9,2.4,0.6,0.1,APR 16 2022,2412840
1630198,Isaiah Joe,76ers,Guard,6-4,165,USA,1999-07-02T00:00:00,1,49,96,10.3,3.7,1.0,0.6,0.3,0.1,APR 17 2022,1517981
1630552,Jalen Johnson,Hawks,Forward,6-8,219,USA,2001-12-18T00:00:00,0,20,22,5.5,2.4,1.2,0.1,0.1,0.1,APR 16 2022,2659560
1629640,Keldon Johnson,Spurs,Forward-Guard,6-6,220,USA,1999-10-11T00:00:00,2,29,161,28.9,14.4,5.8,1.8,0.7,0.2,APR 16 2022,2553120
1630553,Keon Johnson,Trail Blazers,Guard,6-4,185,USA,2002-03-10T00:00:00,0,21,37,18.8,7.2,2.2,2.1,0.8,0.3,APR 16 2022,4437000
1626169,Stanley Johnson,Lakers,Forward-Guard,6-6,242,USA,1996-05-29T00:00:00,6,8,419,20.1,6.3,3.1,1.5,0.9,0.2,APR 17 2022,24830357
203999,Nikola Jokic,Nuggets,Center,6-11,284,Serbia,1995-02-19T00:00:00,6,41,527,30.4,19.7,10.4,6.2,1.2,0.7,APR 17 2022,30510423
1627745,Damian Jones,Kings,Center,6-11,245,USA,1995-06-30T00:00:00,5,30,199,15.2,5.6,3.4,0.8,0.4,0.7,,1977011
1630529,Herbert Jones,Pelicans,Forward,6-7,206,USA,1998-10-06T00:00:00,0,35,78,29.9,9.5,3.8,2.1,1.7,0.8,,1700000
1630539,Kai Jones,Hornets,Center-Forward,6-10,221,Bahamas,2001-01-19T00:00:00,0,19,21,3.0,1.0,0.5,0.2,0.0,0.1,,2770560
1630200,Tre Jones,Spurs,Guard,6-1,185,USA,2000-01-08T00:00:00,1,41,106,13.4,4.8,1.7,2.6,0.5,0.1,,1517981
1626145,Tyus Jones,Grizzlies,Guard,6-0,196,USA,1996-05-10T00:00:00,6,24,455,18.4,6.2,1.8,3.7,1.0,0.1,,7522200
1627884,Derrick Jones Jr.,Bulls,Forward,6-6,210,USA,1997-02-15T00:00:00,5,Undrafted,280,19.8,6.5,3.4,0.7,0.7,0.7,,9720900
201599,Deandre Jordan,76ers,Center,6-11,265,USA,1988-07-21T00:00:00,13,35,980,26.7,9.1,10.3,1.0,0.5,1.5,,11109327
202709,Cory Joseph,Pistons,Guard,6-3,200,Canada,1991-08-20T00:00:00,10,29,728,22.2,7.1,2.6,3.0,0.8,0.2,,7310000
1628379,Luke Kennard,Clippers,Guard,6-5,206,USA,1996-06-24T00:00:00,4,12,297,23.5,10.0,2.9,2.0,0.5,0.1,,12727273
1630557,Corey Kispert,Wizards,Forward,6-6,224,USA,1999-03-03T00:00:00,0,15,77,23.4,8.2,2.7,1.1,0.5,0.3,,3383640
1628467,Maxi Kleber,Mavericks,Forward,6-10,240,Germany,1992-01-29T00:00:00,4,Undrafted,326,22.7,7.1,4.8,1.1,0.4,0.9,,8750000
1628995,Kevin Knox Ii,Hawks,Forward,6-7,215,USA,1999-08-11T00:00:00,3,9,212,18.9,7.7,2.9,0.8,0.4,0.3,,5845978
1629723,John Konchar,Grizzlies,Guard,6-5,210,USA,1996-03-22T00:00:00,2,Undrafted,134,15.3,4.4,3.8,1.3,0.6,0.3,,2197674
1627788,Furkan Korkmaz,76ers,Guard-Forward,6-7,202,Turkey,1997-07-24T00:00:00,4,26,256,18.7,7.9,2.2,1.3,0.6,0.1,,4629630
1628436,Luke Kornet,Celtics,Center-Forward,7-2,250,USA,1995-07-15T00:00:00,4,Undrafted,148,14.3,5.5,2.6,1.0,0.3,0.8,,606702
1630249,Vit Krejci,Thunder,Guard,6-8,195,Czech Republic,2000-06-19T00:00:00,0,37,30,23.0,6.2,3.4,1.9,0.6,0.3,,925258
1630228,Jonathan Kuminga,Warriors,Forward,6-7,225,DRC,2002-10-06T00:00:00,0,7,70,16.9,9.3,3.3,0.9,0.4,0.3,,5466360
1628398,Kyle Kuzma,Wizards,Forward,6-9,221,USA,1995-07-24T00:00:00,4,27,342,30.4,15.6,6.2,2.2,0.6,0.5,,13000000
203897,Zach Lavine,Bulls,Guard-Forward,6-5,200,USA,1995-03-10T00:00:00,7,13,478,31.8,19.8,3.9,3.9,0.9,0.3,,19500000
203087,Jeremy Lamb,Kings,Guard-Forward,6-5,180,USA,1992-05-30T00:00:00,9,12,573,20.8,10.1,3.6,1.6,0.7,0.4,,10500000
1629111,Jock Landale,Spurs,Center,6-11,255,Australia,1995-10-25T00:00:00,0,Undrafted,54,10.9,4.9,2.6,0.8,0.2,0.3,,925258
1629641,Romeo Langford,Spurs,Guard-Forward,6-5,216,USA,1999-10-25T00:00:00,2,14,98,14.5,3.6,1.9,0.5,0.4,0.3,,3804360
1627774,Jake Layman,Timberwolves,Forward,6-8,209,USA,1994-03-07T00:00:00,5,47,243,12.8,4.8,1.7,0.5,0.4,0.3,,3940184
1627747,Caris Levert,Cavaliers,Guard,6-6,205,USA,1994-08-25T00:00:00,5,20,318,27.5,14.6,3.8,4.0,1.1,0.3,,17500000
1627814,Damion Lee,Warriors,Guard-Forward,6-5,210,USA,1992-10-21T00:00:00,4,Undrafted,216,21.0,8.2,3.5,1.4,0.7,0.1,,1910860
1630240,Saben Lee,Pistons,Guard,6-2,183,USA,1999-06-23T00:00:00,1,38,85,16.3,5.6,2.2,3.3,0.8,0.3,,1489065
203458,Alex Len,Kings,Center,7-0,250,Ukraine,1993-06-16T00:00:00,8,5,570,18.9,7.7,5.9,0.9,0.4,1.0,,3731707
202695,Kawhi Leonard,Clippers,Forward,6-7,225,USA,1991-06-29T00:00:00,10,15,576,31.3,19.2,6.4,2.9,1.8,0.6,,39344900
1630184,Kira Lewis Jr.,Pelicans,Guard,6-1,170,USA,2001-04-06T00:00:00,1,13,78,16.0,6.2,1.4,2.2,0.6,0.1,,3822240
203081,Damian Lillard,Trail Blazers,Guard,6-2,195,USA,1990-07-15T00:00:00,9,6,711,36.3,24.6,4.2,6.6,1.0,0.3,,39344900
1629642,Nassir Little,Trail Blazers,Forward-Guard,6-5,220,USA,2000-02-11T00:00:00,2,25,138,16.7,5.8,3.4,0.7,0.3,0.5,,2316240
1630587,Isaiah Livers,Pistons,Forward,6-6,232,USA,1998-07-28T00:00:00,0,42,19,20.2,6.4,3.0,1.1,0.7,0.4,,1057260
1626172,Kevon Looney,Warriors,Forward,6-9,222,USA,1996-02-06T00:00:00,6,30,367,16.4,4.7,4.8,1.4,0.5,0.6,,5178572
201572,Brook Lopez,Bucks,Center,7-0,282,USA,1988-04-01T00:00:00,13,10,868,30.2,16.4,6.2,1.4,0.6,1.8,,13302325
201577,Robin Lopez,Magic,Center,7-0,281,USA,1988-04-01T00:00:00,13,15,939,21.9,8.7,4.9,0.8,0.2,1.1,,5000000
1629712,Didi Louzada,Trail Blazers,Guard,6-5,188,Brazil,1999-07-02T00:00:00,1,35,12,15.5,3.6,1.7,0.7,0.3,0.2,,1786878
201567,Kevin Love,Cavaliers,Forward-Center,6-8,251,USA,1988-09-07T00:00:00,13,5,812,30.9,17.6,10.7,2.4,0.7,0.4,,31300000
200768,Kyle Lowry,Heat,Guard,6-0,196,USA,1986-03-25T00:00:00,15,24,1023,31.9,14.8,4.4,6.3,1.3,0.3,,26984128
1627789,Timothe Luwawu-Cabarrot,Hawks,Guard-Forward,6-7,215,France,1995-05-09T00:00:00,5,24,328,16.0,5.9,2.0,0.9,0.4,0.1,,1939350
1626168,Trey Lyles,Kings,Forward,6-9,234,Canada,1995-11-05T00:00:00,6,12,449,18.3,7.8,4.3,1.1,0.4,0.3,,2500000
1630177,Theo Maledon,Thunder,Guard,6-4,175,France,2001-06-12T00:00:00,1,34,116,23.2,8.8,2.9,2.9,0.8,0.2,,2000000
1629611,Terance Mann,Clippers,Guard-Forward,6-5,215,USA,1996-10-18T00:00:00,2,48,189,20.9,7.6,3.8,1.9,0.5,0.2,,2901240
1626246,Boban Marjanovic,Mavericks,Center,7-3,290,Serbia,1988-08-15T00:00:00,6,Undrafted,286,9.2,5.9,3.8,0.5,0.2,0.3,,3500000
1628374,Lauri Markkanen,Cavaliers,Forward-Center,6-11,240,Finland,1997-05-22T00:00:00,4,7,282,29.7,15.4,6.8,1.3,0.7,0.5,,15690909
1630230,Naji Marshall,Pelicans,Forward,6-7,220,USA,1998-01-24T00:00:00,1,Undrafted,87,16.5,6.4,3.3,1.7,0.7,0.2,,1517981
1628997,Caleb Martin,Heat,Forward,6-5,205,USA,1995-09-28T00:00:00,2,Undrafted,131,19.1,7.1,3.1,1.2,0.8,0.4,,527614
1628998,Cody Martin,Hornets,Forward,6-6,205,USA,1995-09-28T00:00:00,2,36,171,21.2,5.8,3.5,2.1,1.0,0.3,,1782621
1630231,Kenyon Martin Jr.,Rockets,Forward,6-5,215,USA,2001-01-06T00:00:00,1,52,124,22.0,9.0,4.3,1.2,0.5,0.7,,1517981
1629726,Garrison Mathews,Rockets,Guard,6-5,215,USA,1996-10-24T00:00:00,2,Undrafted,147,20.3,7.5,2.0,0.7,0.6,0.2,,1093598
202083,Wesley Matthews,Bucks,Guard,6-4,220,USA,1986-10-14T00:00:00,12,Undrafted,898,30.5,12.2,2.9,2.0,1.0,0.2,,1958501
1630178,Tyrese Maxey,76ers,Guard,6-2,200,USA,2000-11-04T00:00:00,1,21,136,26.4,13.2,2.5,3.2,0.6,0.3,,2602920
1630219,Skylar Mays,Hawks,Guard,6-4,205,USA,1997-09-05T00:00:00,1,50,61,8.0,3.3,1.0,0.8,0.3,0.0,,34231
1630540,Miles Mcbride,Knicks,Guard,6-1,195,USA,2000-09-08T00:00:00,0,36,40,9.3,2.2,1.1,1.0,0.4,0.0,,5557725
203468,Cj Mccollum,Pelicans,Guard,6-3,190,USA,1991-09-19T00:00:00,8,10,590,31.6,19.2,3.5,3.5,0.9,0.4,,30864198
204456,T.J. Mcconnell,Pacers,Guard,6-1,190,USA,1992-03-25T00:00:00,6,,481,22.2,6.9,3.0,5.0,1.3,0.2,,7500000
1629667,Jalen Mcdaniels,Hornets,Forward-Center,6-9,205,USA,1998-01-31T00:00:00,2,52,118,17.7,6.6,3.4,1.1,0.5,0.4,,2063280
203926,Doug Mcdermott,Spurs,Forward,6-7,225,USA,1992-01-03T00:00:00,7,11,527,20.9,9.2,2.3,0.9,0.2,0.1,,13750000
201580,Javale Mcgee,Suns,Center-Forward,7-0,270,USA,1988-01-19T00:00:00,13,18,821,17.0,8.0,5.3,0.4,0.4,1.5,,5000000
203585,Rodney Mcgruder,Pistons,Guard,6-4,205,USA,1991-07-29T00:00:00,5,Undrafted,285,19.8,5.8,2.8,1.2,0.5,0.2,,1939350
1629162,Jordan Mclaughlin,Timberwolves,Guard,5-11,185,USA,1996-04-09T00:00:00,2,Undrafted,143,17.0,5.0,1.8,3.5,1.0,0.1,,1669178
203463,Ben Mclemore,Trail Blazers,Guard,6-3,195,USA,1993-02-11T00:00:00,8,7,556,22.5,9.0,2.3,1.0,0.6,0.2,,2389641
1629001,De'Anthony Melton,Grizzlies,Guard,6-2,200,USA,1998-05-28T00:00:00,3,46,235,20.7,8.4,3.6,2.8,1.3,0.5,,8437500
1629002,Chimezie Metu,Kings,Forward-Center,6-9,225,USA,1997-03-22T00:00:00,3,49,143,14.1,6.1,3.6,0.8,0.5,0.4,,1762796
203114,Khris Middleton,Bucks,Forward,6-7,222,USA,1991-08-12T00:00:00,9,39,651,31.8,17.1,4.9,3.8,1.2,0.2,,35500000
201988,Patty Mills,Nets,Guard,6-0,180,Australia,1988-08-11T00:00:00,12,55,820,20.7,9.2,1.7,2.3,0.7,0.1,,5890000
200794,Paul Millsap,76ers,Forward,6-7,257,USA,1985-02-10T00:00:00,15,47,1085,28.1,13.4,7.1,2.2,1.2,1.0,,2641691
1629003,Shake Milton,76ers,Guard-Forward,6-5,205,USA,1996-09-26T00:00:00,3,54,178,20.9,9.7,2.3,2.6,0.5,0.3,,1846738
1630558,Davion Mitchell,Kings,Guard,6-0,202,USA,1998-09-05T00:00:00,0,9,75,27.7,11.5,2.2,4.2,0.7,0.3,,4603320
1628378,Donovan Mitchell,Jazz,Guard,6-1,215,USA,1996-09-07T00:00:00,4,13,345,33.7,23.9,4.2,4.5,1.3,0.3,,28103550
1630596,Evan Mobley,Cavaliers,Center,6-11,215,USA,2001-06-18T00:00:00,0,3,69,33.8,15.0,8.3,2.5,0.8,1.7,,8075160
1628370,Malik Monk,Lakers,Guard,6-3,200,USA,1998-02-04T00:00:00,4,11,309,20.4,10.3,2.3,2.0,0.5,0.2,,1789256
202328,Greg Monroe,Timberwolves,Forward-Center,6-10,250,USA,1990-06-04T00:00:00,9,7,646,27.4,13.0,8.2,2.1,1.1,0.6,,55208
1630541,Moses Moody,Warriors,Guard,6-5,211,USA,2002-05-31T00:00:00,0,14,52,11.7,4.4,1.5,0.4,0.1,0.2,,3562080
1629630,Ja Morant,Grizzlies,Guard,6-3,174,USA,1999-08-10T00:00:00,2,2,187,32.2,21.2,4.5,7.1,1.0,0.3,,9603360
1629752,Juwan Morgan,Celtics,Forward,6-7,232,USA,1997-04-17T00:00:00,2,Undrafted,52,6.0,1.5,1.2,0.3,0.1,0.1,,19186
202693,Markieff Morris,Heat,Forward,6-9,245,USA,1989-09-02T00:00:00,10,13,715,24.8,10.9,5.2,1.6,0.8,0.5,,2641691
1628420,Monte Morris,Nuggets,Guard,6-2,183,USA,1995-06-27T00:00:00,4,51,280,25.2,10.5,2.3,3.7,0.8,0.2,,8333333
